Date,Time,Open,High,Low,Close,Volume
2017.07.28,0:00,1.16752,1.17637,1.16709,1.17485,116071
2017.07.31,0:00,1.17462,1.18452,1.17228,1.18413,104948
2017.08.01,0:00,1.18414,1.1844,1.1785,1.18006,110151
2017.08.02,0:00,1.18004,1.19095,1.17932,1.1855,108960
2017.08.03,0:00,1.1855,1.18928,1.18303,1.18684,103493
2017.08.04,0:00,1.1868,1.18888,1.17279,1.17715,107168
2017.08.07,0:00,1.17723,1.18137,1.177,1.17948,89671
2017.08.08,0:00,1.17947,1.18235,1.1715,1.17509,89277
2017.08.09,0:00,1.17497,1.17636,1.16888,1.1758,113657
2017.08.10,0:00,1.17584,1.17848,1.17039,1.17707,107177
2017.08.11,0:00,1.17707,1.18469,1.17484,1.18198,106734
2017.08.14,0:00,1.18215,1.18382,1.17696,1.17788,90250
2017.08.15,0:00,1.17784,1.17924,1.16869,1.17338,101686
2017.08.16,0:00,1.1734,1.17783,1.16812,1.17663,116797
2017.08.17,0:00,1.17663,1.17898,1.16619,1.17226,130585
2017.08.18,0:00,1.17224,1.17743,1.17082,1.17576,104468
2017.08.21,0:00,1.17548,1.18278,1.17308,1.1813,102247
2017.08.22,0:00,1.18137,1.1824,1.17451,1.17613,77313
2017.08.23,0:00,1.17613,1.18229,1.17399,1.18066,80378
2017.08.24,0:00,1.18066,1.18176,1.17839,1.17988,81960
2017.08.25,0:00,1.17987,1.19415,1.17731,1.19217,107459
2017.08.28,0:00,1.19431,1.19835,1.19168,1.19785,87329
2017.08.29,0:00,1.19784,1.207,1.1946,1.19717,147719
2017.08.30,0:00,1.19715,1.19839,1.18805,1.18827,121566
2017.08.31,0:00,1.18827,1.19125,1.18229,1.19095,125308
2017.09.01,0:00,1.19095,1.19796,1.18497,1.18578,124396
2017.09.04,0:00,1.18833,1.19218,1.18733,1.18946,139769
2017.09.05,0:00,1.18928,1.19404,1.1868,1.1912,129090
2017.09.06,0:00,1.19119,1.19498,1.19028,1.19162,125753
2017.09.07,0:00,1.19165,1.20589,1.19137,1.20211,143101
